Subject,Cond,Int,State,Prob
1,R,R,A,0.10625758877010098
1,R,R,B,0.0839577101904226
1,R,R,C,0.1110255574969645
1,R,R,D,0.11691888530221814
1,R,R,E,0.12405603103621879
1,R,R,F,0.12275298368229336
1,R,R,G,0.10430301773921284
1,R,R,H,0.11762963840435929
1,R,R,I,0.11309858737820949
1,C,H,A,0.11090763419938193
1,C,H,B,0.06924573652283393
1,C,H,C,0.18713517225592308
1,C,H,D,0.09339590248369005
1,C,H,E,0.11708824539315554
1,C,H,F,0.13322650795467553
1,C,H,G,0.1090763419938194
1,C,H,H,0.08504063179581092
1,C,H,I,0.09488382740070962
1,C,M,A,0.09901693710766316
1,C,M,B,0.06253701291010304
1,C,M,C,0.1577638280232145
1,C,M,D,0.09605590429941964
1,C,M,E,0.13798412886414782
1,C,M,F,0.13229894587232027
1,C,M,G,0.11725689920644321
1,C,M,H,0.08729124718701883
1,C,M,I,0.10979509652966955
1,C,L,A,0.09567085261070721
1,C,L,B,0.06179775280898876
1,C,L,C,0.1556923331130205
1,C,L,D,0.10826999339061467
1,C,L,E,0.12103436880370126
1,C,L,F,0.1317333113020489
1,C,L,G,0.11099636483807006
1,C,L,H,0.09294448116325182
1,C,L,I,0.12186054196959682
1,I,H,A,0.09572194669569775
1,I,H,B,0.05967501310431031
1,I,H,C,0.19696786419902423
1,I,H,D,0.09249627031168098
1,I,H,E,0.16104189347203743
1,I,H,F,0.1021732994637313
1,I,H,G,0.10350389097213822
1,I,H,H,0.08955284061126567
1,I,H,I,0.09886698117011411
1,I,M,A,0.08649276586756785
1,I,M,B,0.06315344809377971
1,I,M,C,0.1738303939169923
1,I,M,D,0.09356848664061675
1,I,M,E,0.1596789523708945
1,I,M,F,0.1130003168233182
1,I,M,G,0.10782553595944662
1,I,M,H,0.09832083641356004
1,I,M,I,0.10412926391382406
1,I,L,A,0.10757773976049109
1,I,L,B,0.05726074267887692
1,I,L,C,0.17721646372144512
1,I,L,D,0.09952702022743283
1,I,L,E,0.16000805071953306
1,I,L,F,0.1093891516554292
1,I,L,G,0.10254604005232967
1,I,L,H,0.07587803159907416
1,I,L,I,0.11059675958538795
2,R,R,A,0.09836323575700347
2,R,R,B,0.08391564368901479
2,R,R,C,0.14463330185709788
2,R,R,D,0.09046270066100094
2,R,R,E,0.16502990242367013
2,R,R,F,0.09225684608120868
2,R,R,G,0.09562480327352849
2,R,R,H,0.10258105130626377
2,R,R,I,0.12713251495121183
2,C,H,A,0.10394443066236665
2,C,H,B,0.10171173406102704
2,C,H,C,0.09972711485983626
2,C,H,D,0.13532622178119574
2,C,H,E,0.10816174646489705
2,C,H,F,0.07541552964524932
2,C,H,G,0.11411560406846936
2,C,H,H,0.07491937484495162
2,C,H,I,0.18667824361200694
2,C,M,A,0.08940939428283591
2,C,M,B,0.07958695378415817
2,C,M,C,0.11950635940057927
2,C,M,D,0.14368467447424757
2,C,M,E,0.12895101372623094
2,C,M,F,0.08097216975192041
2,C,M,G,0.1251731519959703
2,C,M,H,0.05679385467825211
2,C,M,I,0.1759224279058053
2,C,L,A,0.0904506486957319
2,C,L,B,0.09283454820519874
2,C,L,C,0.1128226287076514
2,C,L,D,0.1433090358960253
2,C,L,E,0.13203135744739375
2,C,L,F,0.05959748773667079
2,C,L,G,0.14028331728785587
2,C,L,H,0.06211891991014533
2,C,L,I,0.1665520561133269
2,I,H,A,0.0997788256896048
2,I,H,B,0.10361807787004966
2,I,H,C,0.12018528564870842
2,I,H,D,0.13933981554897132
2,I,H,E,0.12903225806451613
2,I,H,F,0.06722864415974628
2,I,H,G,0.1415932896548846
2,I,H,H,0.058590326753745356
2,I,H,I,0.1406334766097734
2,I,M,A,0.08497264579210802
2,I,M,B,0.09323710860202537
2,I,M,C,0.11907810499359796
2,I,M,D,0.12024211384006518
2,I,M,E,0.14643231288557793
2,I,M,F,0.07077173786520778
2,I,M,G,0.14107787219182866
2,I,M,H,0.06530089628681178
2,I,M,I,0.15888720754277733
